,marketSegment,name,slug,ticker,totalSupply
0,Ethereum,dDAI,ddai,DDAI,
1,Platform,Color Platform,color-platform,CLR,350000000
2,Ethereum,Enecuum,enecuum,ENQ,191507609.018
3,Interoperability,Cosmos,cosmos,ATOM,264707036.381355
4,,Gods Unchained,gods-unchained,GUN,
5,Ethereum,ZeuxCoin,zeuxcoin,ZUC,750000000
6,Energy,Treelion,treelion,TRN,1000000000
7,Lending,Kava,kava,KAVA,112862218
8,Ethereum,Stellar Classic,stellar-classic,XLMX,3450990960
9,Other,HyperExchange,hyperexchange,HX,90767835.7014
10,DeFi,0x Tracker,0xtracker,ZRT,
11,Financial,Tepleton,tepleton,TEP,1000000000
12,Ethereum,MargiX,margix,MGX,1000000000
13,Platform,EOS Force,eos-force,EOSC,1000000000
14,Ethereum,YottaChain,yottachain,YTA,4000000000
15,Ethereum,Anchor,anchor,ANCT,759493671
16,Gaming,Versess Coin,versess-coin,VERS,176460.09
17,IOTA,IOTA,iota,MIOTA,2779530283
18,Other,7Eleven,7eleven,7E,1000000000000
19,Binance,everiToken,everitoken,EVT,194322605.36644
20,Ethereum,Yap Stone,yap-stone,YAP,1000000000
21,Education,WaveEduCoin,wave-edu-coin,WEC,223000000
22,Cryptocurrency,Dash Cash,dash-cash,DSC,21405673.75999999
23,Other,NOVA,nova,NOVA,1949964203.711
24,Ethereum,Hintchain,hintchain,HINT,1000000000
25,Financial,Azbit,azbit,AZ,125037568932.9074
26,Ethereum,Project WITH,project-with,WIKEN,1057786429
27,Sports,Chiliz,chiliz,CHZ,8888888888
28,Cryptocurrency,Coin2Play ,coin2play,C2P,22981764.4569688
29,Ethereum,DeepCloud AI,deepcloud-ai,DEEP,200000000
30,Ethereum,Sessia,sessia,KICKS,100000000
31,DeFi,Augmint,augmint,AUG,
32,Exchange,Catex Token,catex-token,CATT,1281915488
33,Cloud Storage,Lambda Space Token,lambda-space-token,LAMBS,500000000
34,DeFi,Helena,helena,HLN,
35,Exchange,Bitfex,bitfex,BFX,216525879
36,Ethereum,merkleX,merklex,MKX,
37,Stablecoin,HUSD,husd,HUSD,236970587.0891799
38,Ethereum,DAD,dad-chain,DAD,1000000000
39,Cryptocurrency,MeconCash,meconcash,MCH,1000000000
40,Exchange,GateToken,gatechain-token,GT,300000000
41,Ethereum,Muse,muse,MUSE,202589
42,Cryptocurrency,MB8 Coin,mb8-coin,MB8,162072950.86875194
43,Other,Swapcoinz,swapcoinz,SPAZ,30000000
44,Cryptocurrency,ChronoCoin,chronocoin,CRN,5680000000
45,DeFi,Nitrogen Network,nitrogen,NGN,
46,DeFi,Totle,totle,TTL,
47,Social,D Community,d-community,DILI,10000000000
48,Platform,AERUM,aerum,XRM,1000000000
49,Ethereum,Ash,ash,ASH,
50,DeFi,InstaDApp,instadapp,IDA,
51,Other,LINKA,linka,LINKA,2000000000
52,DeFi,dYdX,dydx,DYDX,
53,DeFi,Poketto,poketto,PKT,
54,AI,Tesra,tesra,TSR,10000000000
55,Lending,INLOCK,inlock,ILK,4400000000
56,Ethereum,UniMex,unimex-finance,UMEX,10000000
57,Entertainment,GoMoney,gomoney,GOM,10000000000
58,Marketplace,CryptoBossCoin,cryptobosscoin,CBC,23277.81
59,DeFi,Nuo Network,nuo,NUO,
60,DeFi,Bamboo Relay,bamboo,BBR,
61,Exchange,CoinHe Token,coinhe-token,CHT,200000000
62,Ethereum,UMA,uma,UMA,101131234.11266758
63,IoT,Xensor,xensor,XSR,4800000000
64,Cryptocurrency,ParallelCoin,parallelcoin,DUO,314718.64134544
65,Ethereum,FiatDex Gateway,fiatdex-gateway,FDG,
66,Bitcoin,Lightning Network,lightning-network,LNN,
67,Blockchain Service,Project Coin,project-coin,PRJ,56834485.351899
68,DeFi,Zerion,zerion,ZRN,
69,Exchange,ALP Coin,alp-coin,ALP,100000000
